member_id,account_age_days,kyc_completeness,avg_contribution,contribution_count,contribution_consistency,num_payment_methods,device_changes_30d,failed_login_attempts_30d,withdrawal_to_deposit_ratio,referral_count,days_since_last_activity,velocity_score,is_high_risk
225,1443,0.75,86033.51,16,0.924,1,0,0,0.172,0,266,0.694,0
226,612,1.0,15147.22,12,0.68,2,0,2,0.406,1,127,0.854,0
227,1617,1.0,15649.96,11,0.717,1,1,0,0.328,2,172,0.938,0
228,1158,0.75,53887.47,6,0.801,1,0,0,0.304,3,110,0.123,0
229,1094,1.0,35837.84,7,0.595,3,0,0,0.426,2,93,0.642,0
230,354,1.0,34534.91,10,0.964,1,3,0,0.555,0,129,0.323,0
231,926,0.5,156723.56,9,0.898,2,0,0,0.3,3,235,0.292,0
232,1713,0.75,64054.47,8,0.891,2,0,2,0.479,0,249,0.321,0
233,40,1.0,31233.51,9,0.557,1,1,0,0.396,2,184,0.292,0
234,1517,0.75,8992.42,10,1.0,2,0,0,0.0,1,295,0.375,0
235,986,0.75,29862.65,7,0.39,2,0,1,0.286,2,312,0.307,0
236,1439,1.0,13748.27,12,0.909,1,1,0,0.225,0,175,0.531,1
237,1326,0.75,18876.11,8,0.789,1,0,0,0.433,1,33,0.588,0
238,864,1.0,19434.23,5,0.894,3,0,0,0.455,2,186,0.71,0
239,618,1.0,81476.85,11,0.718,1,1,0,0.312,0,268,0.549,0
240,1254,1.0,11155.15,11,0.778,1,0,0,0.379,0,235,0.393,0
241,281,0.5,76031.2,11,0.901,1,0,0,0.322,0,123,0.59,0
242,1168,1.0,55643.19,10,0.761,2,1,0,0.14,1,90,0.669,0
243,190,0.75,55062.28,6,0.804,1,0,0,0.594,1,370,0.565,0
244,1300,1.0,18213.32,8,0.811,3,0,1,0.433,0,387,0.55,0
245,1257,1.0,69262.26,9,1.0,3,2,0,0.764,2,79,1.0,1
246,169,1.0,16372.02,8,0.442,2,0,0,0.242,1,110,0.268,0
247,1515,0.75,104724.0,10,1.0,3,1,0,0.144,0,46,0.644,1
248,832,0.75,82775.93,9,0.852,2,0,0,0.0,1,391,0.456,0
249,1573,1.0,116769.19,7,0.827,3,1,0,0.867,3,95,0.001,0
250,84,0.5,41402.09,9,0.507,1,1,1,0.424,3,41,0.0,0
251,359,0.75,35818.34,10,0.992,3,0,0,0.489,0,48,0.0,0
252,988,1.0,29220.3,6,0.535,2,0,0,0.722,0,228,0.424,0
253,377,1.0,154546.34,6,1.0,3,0,0,0.331,1,99,0.013,0
254,660,0.5,62167.56,9,0.652,1,0,0,0.119,0,341,0.391,0
255,1321,1.0,13895.24,8,1.0,3,0,1,0.522,1,339,0.454,0
256,289,1.0,96794.83,11,0.619,1,2,0,0.239,2,43,0.294,0
257,1355,1.0,34775.45,8,0.574,2,1,1,0.0,0,341,0.351,0
258,207,1.0,2357.95,5,0.742,1,0,1,0.675,1,240,0.645,0
259,351,1.0,21781.57,8,0.612,1,0,0,0.022,4,53,0.194,0
260,1175,1.0,82738.45,12,0.713,2,1,1,0.112,3,48,0.43,0
261,1587,1.0,55777.63,8,1.0,2,2,0,0.491,1,45,0.0,0
262,342,1.0,63784.53,15,0.65,3,0,1,0.0,1,83,0.478,1
263,600,0.75,96160.68,12,0.795,3,0,0,0.319,0,113,0.741,0
264,1850,0.75,7434.88,11,1.0,1,0,0,0.359,3,52,0.614,0
265,1979,0.5,22008.13,13,0.808,3,0,1,0.563,0,272,0.353,0
266,1162,1.0,42100.71,14,0.986,3,1,0,0.447,1,146,0.311,0
267,894,1.0,84410.48,11,0.872,2,1,0,0.477,2,178,0.835,0
268,694,1.0,16288.01,8,0.96,2,0,1,0.52,1,103,0.573,0
269,1225,1.0,31085.56,4,0.747,2,0,0,0.662,0,245,0.431,0
270,1182,1.0,40118.61,9,0.877,1,0,2,0.18,2,369,0.579,0
271,590,0.75,21088.09,6,1.0,1,1,1,0.047,0,339,0.274,0
272,46,1.0,39775.65,6,0.694,2,0,0,0.06,1,391,0.377,0
273,303,1.0,35683.17,7,0.844,3,1,0,0.451,2,190,0.231,0
274,1917,0.5,26014.47,9,0.625,3,0,1,0.223,1,111,0.636,0
275,836,1.0,69140.24,12,0.968,2,0,2,0.144,1,23,0.177,0
276,965,1.0,60737.86,6,0.426,3,0,1,0.564,1,312,0.286,0
277,934,1.0,71279.9,14,0.701,3,0,0,0.438,2,131,0.514,0
278,1565,1.0,75642.25,8,0.962,2,0,0,0.688,1,311,0.0,0
279,130,0.75,9875.31,9,0.73,1,0,0,0.365,1,307,0.21,0
280,166,0.75,11050.91,10,0.402,2,1,0,0.433,1,133,0.177,1
281,552,0.75,65118.73,5,0.606,3,0,1,0.195,1,356,0.45,0
282,973,0.75,28023.32,6,0.623,2,0,0,0.0,0,90,0.446,0
283,1342,1.0,25210.55,7,1.0,3,0,1,0.163,0,382,0.898,0
284,981,1.0,22151.02,11,0.918,2,0,0,0.114,0,308,0.169,0
285,882,0.75,73001.7,10,0.939,3,0,0,0.0,2,197,0.022,0
286,1875,1.0,148184.1,8,0.514,2,0,0,0.341,2,124,0.703,0
287,322,1.0,75369.01,9,0.761,2,0,0,0.528,0,150,0.239,0
288,1143,1.0,27003.92,5,1.0,1,0,0,0.182,0,2,0.433,0
289,1084,1.0,70466.62,15,0.939,1,0,0,0.397,1,299,0.272,0
290,947,1.0,10708.13,10,0.658,2,1,0,0.155,2,132,0.553,0
291,1615,1.0,33774.64,10,0.917,2,1,0,0.26,2,219,0.486,0
292,534,0.5,7446.31,12,0.503,2,1,1,0.148,4,269,0.306,0
293,1907,1.0,28066.0,8,0.588,1,1,0,0.374,0,346,0.405,0
294,663,1.0,45586.69,13,0.383,2,1,0,0.445,1,116,0.278,0
295,1090,1.0,166229.35,12,0.737,2,1,0,0.728,1,300,0.413,1
296,1041,1.0,89029.11,8,0.886,2,1,2,0.156,2,122,0.287,0
297,1699,1.0,7616.53,9,0.567,1,1,0,0.246,1,23,0.765,0
298,878,1.0,8447.84,11,0.741,3,2,1,0.581,1,68,0.33,0
299,569,1.0,21212.57,5,0.592,1,0,0,0.215,1,31,0.285,0
300,44,1.0,126563.99,11,0.642,1,2,0,0.425,0,92,0.0,0
301,727,1.0,8011.18,6,0.551,1,1,0,0.174,2,395,0.128,0
302,1652,1.0,22297.31,10,1.0,3,0,0,0.398,0,288,0.549,0
303,20,0.5,22195.77,11,0.622,2,0,1,0.449,1,232,0.359,1
304,1792,1.0,53816.38,10,0.71,2,1,1,0.626,1,285,0.317,1
305,1086,0.75,71716.27,7,0.655,3,0,0,0.109,1,244,0.584,0
306,281,0.75,61162.27,6,0.823,2,1,0,0.422,0,346,0.727,1
307,605,0.75,48481.03,9,1.0,3,1,0,0.264,0,242,0.188,0
308,1108,1.0,10261.97,5,1.0,2,1,0,0.0,0,194,0.341,0
309,632,0.75,43042.69,10,0.716,2,0,0,0.144,1,21,0.0,0
310,218,0.75,98008.38,12,0.843,1,0,0,0.113,1,192,0.639,0
311,1332,0.5,120438.54,7,0.952,2,0,0,0.407,2,144,1.0,0
312,1344,1.0,52777.63,7,1.0,1,0,0,0.081,1,189,0.312,0
313,238,1.0,7698.67,11,0.887,2,1,0,0.323,0,399,0.306,0
314,563,0.5,53431.2,9,0.981,2,0,0,0.303,1,122,0.38,0
315,488,0.5,35596.41,13,0.843,2,3,0,0.462,1,352,0.46,0
316,1319,1.0,9087.8,9,0.634,3,0,1,0.181,4,385,0.47,0
317,1460,0.75,15416.86,11,0.98,2,1,0,0.0,3,180,0.47,0
318,1454,1.0,18205.59,16,0.788,3,0,0,0.532,0,32,0.052,0
319,1877,1.0,65277.83,12,0.827,2,1,0,0.16,1,79,0.386,0
320,1537,1.0,117076.49,6,0.489,1,2,0,0.575,1,291,0.56,1
321,642,0.75,58380.63,14,0.607,1,1,0,0.295,0,336,0.102,0
322,216,1.0,66747.71,7,0.684,1,0,0,0.317,0,191,0.06,0
323,1229,0.5,37571.44,9,0.866,3,0,0,0.452,1,25,0.261,0
324,1832,1.0,24880.5,7,1.0,2,0,0,0.461,3,369,0.443,0
325,1950,1.0,59530.29,8,0.916,2,0,0,0.281,0,317,0.556,0
326,461,1.0,48955.31,16,0.724,2,0,0,0.191,0,18,0.595,0
327,473,1.0,19750.7,11,0.563,3,0,0,0.289,2,293,0.184,0
328,75,0.75,46568.73,11,1.0,1,1,0,0.0,0,274,0.0,0
329,283,1.0,39492.3,13,0.824,2,1,0,0.545,1,57,0.793,0
330,1110,1.0,30890.25,11,0.12,3,2,0,0.085,0,175,0.709,0
331,1094,0.75,24148.15,10,0.969,3,1,0,0.172,0,380,0.288,0
332,742,1.0,52742.25,12,0.835,2,0,0,0.201,2,3,0.591,0
333,620,1.0,25500.3,5,0.331,3,2,1,0.394,0,221,0.471,0
334,1659,1.0,148313.46,6,0.885,3,3,2,0.267,2,169,0.355,0
335,920,1.0,56980.42,5,0.777,1,1,0,0.467,0,220,0.85,0
336,1616,1.0,53387.68,10,0.497,1,0,1,0.429,1,182,0.237,0
337,1926,1.0,34508.57,7,1.0,1,0,0,0.096,2,5,0.049,0
338,634,0.75,28741.01,9,0.848,3,1,0,0.097,0,292,0.437,0
339,406,1.0,5814.53,6,0.663,1,0,0,0.232,2,398,0.255,0
340,1905,0.5,20935.26,8,0.603,3,1,0,0.479,3,262,0.444,0
341,1270,1.0,7508.66,8,0.722,3,0,0,0.434,1,386,0.327,0
342,582,1.0,7393.95,5,0.728,2,2,1,0.459,0,286,0.223,0
343,1244,1.0,13294.03,13,0.875,1,0,0,0.235,2,322,0.345,0
344,1030,0.75,91151.53,13,0.712,3,0,0,0.551,2,295,0.019,0
345,1811,0.75,90851.14,9,0.677,2,0,0,0.387,2,36,0.017,0
346,512,1.0,21369.67,10,0.792,2,0,0,0.152,2,222,0.336,0
347,1982,0.75,10007.8,9,0.673,1,0,0,0.234,3,26,0.498,0
348,1872,0.5,27686.33,12,0.737,2,0,2,0.503,0,277,0.0,0
